iter	Passed	Remaining
327	1609	3297
328	1614	3293
329	1619	3287
330	1624	3282
331	1628	3275
332	1632	3269
333	1637	3264
334	1641	3259
335	1646	3253
336	1650	3246
337	1655	3243
338	1660	3237
339	1665	3232
340	1669	3226
341	1674	3220
342	1678	3214
343	1682	3209
344	1686	3202
345	1691	3197
346	1696	3193
347	1702	3188
348	1706	3183
349	1711	3178
350	1716	3173
351	1720	3167
352	1725	3163
353	1730	3158
354	1735	3153
355	1740	3148
356	1745	3143
357	1750	3138
358	1754	3133
359	1759	3128
360	1764	3122
361	1769	3118
362	1773	3113
363	1778	3107
364	1783	3102
365	1788	3097
366	1792	3092
367	1797	3087
368	1803	3084
369	1807	3078
370	1812	3072
371	1817	3068
372	1822	3063
373	1826	3057
374	1831	3052
375	1835	3046
376	1840	3041
377	1845	3036
378	1850	3031
379	1854	3026
380	1859	3021
381	1863	3015
382	1868	3009
383	1872	3004
384	1877	2999
385	1882	2993
386	1886	2988
387	1891	2983
388	1896	2978
389	1901	2973
390	1906	2968
391	1910	2962
392	1914	2957
393	1919	2952
394	1924	2947
395	1928	2941
396	1932	2935
397	1937	2930
398	1942	2925
399	1947	2920
400	1951	2915
401	1956	2910
402	1961	2905
403	1966	2900
404	1971	2896
405	1976	2891
406	1980	2886
407	1985	2881
408	1990	2876
409	1995	2871
410	2000	2867
411	2006	2863
412	2010	2857
413	2014	2851
414	2019	2846
415	2023	2840
416	2027	2834
417	2032	2830
418	2037	2825
419	2042	2820
420	2047	2815
421	2052	2810
422	2057	2806
423	2061	2800
424	2067	2796
425	2071	2791
426	2076	2786
427	2080	2780
428	2084	2774
429	2089	2770
430	2095	2766
431	2100	2761
432	2105	2757
433	2110	2752
434	2115	2747
435	2119	2742
436	2124	2737
437	2129	2732
438	2133	2726
439	2138	2722
440	2143	2717
441	2148	2711
442	2154	2709
443	2159	2704
444	2164	2699
445	2169	2695
446	2174	2689
447	2178	2684
448	2184	2680
449	2189	2676
450	2194	2671
451	2199	2666
452	2204	2661
453	2208	2656
454	2214	2651
455	2219	2647
456	2223	2642
457	2228	2637
458	2233	2632
459	2238	2627
460	2243	2622
461	2247	2617
462	2252	2612
463	2256	2607
464	2261	2601
465	2266	2596
466	2270	2591
467	2274	2586
468	2279	2580
469	2285	2576
470	2290	2572
471	2294	2566
472	2299	2562
473	2304	2557
474	2309	2552
475	2314	2547
476	2319	2542
477	2323	2537
478	2328	2532
479	2333	2527
480	2337	2522
481	2342	2517
482	2346	2511
483	2351	2506
484	2355	2501
485	2360	2496
486	2364	2491
487	2369	2485
488	2374	2480
489	2380	2477
490	2385	2472
491	2389	2467
492	2394	2462
493	2398	2457
494	2403	2451
495	2407	2446
496	2412	2441
497	2417	2436
498	2421	2431
499	2426	2426
500	2431	2421
501	2436	2416
502	2440	2411
503	2445	2406
504	2450	2402
505	2455	2397
506	2460	2392
507	2464	2386
508	2468	2381
509	2473	2376
510	2479	2372
511	2484	2368
512	2490	2364
513	2495	2359
514	2500	2355
515	2505	2350
516	2510	2345
517	2514	2339
518	2519	2334
519	2523	2329
520	2528	2324
521	2532	2319
522	2537	2314
523	2542	2309
524	2547	2304
525	2552	2300
526	2556	2294
527	2561	2290
528	2566	2285
529	2571	2280
530	2576	2275
531	2581	2270
532	2587	2266
533	2592	2262
534	2598	2258
535	2603	2253
536	2608	2248
537	2613	2244
538	2617	2239
539	2622	2234
540	2627	2229
541	2632	2224
542	2637	2219
543	2642	2214
544	2647	2210
545	2652	2205
546	2657	2200
547	2661	2195
548	2666	2190
549	2671	2185
550	2676	2180
551	2681	2175
552	2685	2171
553	2690	2166
554	2695	2160
555	2700	2156
556	2704	2151
557	2710	2146
558	2714	2141
559	2719	2136
560	2724	2131
561	2728	2126
562	2733	2121
563	2737	2116
564	2742	2111
565	2746	2106
566	2750	2100
567	2755	2095
568	2759	2090
569	2764	2085
570	2769	2080
571	2774	2076
572	2779	2071
573	2784	2066
574	2789	2061
575	2794	2057
576	2799	2052
577	2804	2047
578	2808	2042
579	2813	2037
580	2818	2032
581	2822	2027
582	2827	2022
583	2832	2017
584	2836	2012
585	2841	2007
586	2845	2002
587	2850	1997
588	2855	1992
589	2859	1987
590	2865	1982
591	2870	1978
592	2875	1973
593	2879	1968
594	2883	1962
595	2887	1957
596	2891	1952
597	2896	1947
598	2901	1942
599	2905	1937
600	2910	1932
601	2915	1927
602	2919	1922
603	2923	1916
604	2929	1912
605	2933	1907
606	2938	1902
607	2943	1897
608	2948	1893
609	2953	1888
610	2957	1882
611	2961	1877
612	2966	1873
613	2972	1869
614	2977	1864
615	2982	1859
616	2987	1854
617	2991	1849
618	2996	1844
619	3000	1839
620	3005	1834
621	3010	1829
622	3014	1824
623	3019	1819
624	3024	1814
625	3029	1809
626	3034	1804
627	3038	1800
628	3044	1795
629	3048	1790
630	3053	1785
631	3059	1781
632	3064	1776
633	3070	1772
634	3075	1768
635	3081	1763
636	3085	1758
637	3090	1753
638	3094	1748
639	3099	1743
640	3103	1738
641	3108	1733
642	3112	1728
643	3117	1723
644	3121	1718
645	3126	1713
646	3130	1707
647	3134	1702
648	3138	1697
649	3144	1692
650	3149	1688
651	3153	1683
652	3159	1678
653	3165	1674
654	3170	1670
655	3175	1665
656	3180	1660
657	3185	1655
658	3189	1650
659	3195	1645
660	3199	1641
661	3204	1636
662	3209	1631
663	3213	1626
664	3217	1621
665	3222	1615
666	3226	1611
667	3231	1606
668	3236	1601
669	3241	1596
670	3246	1591
671	3251	1586
672	3255	1581
673	3261	1577
674	3266	1572
675	3272	1568
676	3277	1563
677	3281	1558
678	3286	1553
679	3292	1549
680	3296	1544
681	3300	1539
682	3306	1534
683	3310	1529
684	3315	1524
685	3320	1519
686	3325	1515
687	3330	1510
688	3335	1505
689	3340	1500
690	3344	1495
691	3349	1490
692	3355	1486
693	3360	1481
694	3366	1477
695	3371	1472
696	3376	1467
697	3381	1462
698	3385	1458
699	3390	1453
700	3395	1448
701	3401	1444
702	3406	1439
703	3411	1434
704	3416	1429
705	3421	1424
706	3426	1419
707	3431	1415
708	3436	1410
709	3440	1405
710	3445	1400
711	3450	1395
712	3455	1390
713	3460	1386
714	3466	1381
715	3470	1376
716	3476	1372
717	3481	1367
718	3486	1362
719	3491	1357
720	3495	1352
721	3500	1347
722	3506	1343
723	3511	1338
724	3515	1333
725	3519	1328
726	3524	1323
727	3528	1318
728	3534	1313
729	3538	1308
730	3543	1304
731	3547	1298
732	3552	1294
733	3557	1289
734	3562	1284
735	3567	1279
736	3572	1274
737	3576	1269
738	3581	1265
739	3587	1260
740	3592	1255
741	3597	1250
742	3602	1245
743	3606	1241
744	3612	1236
745	3616	1231
746	3621	1226
747	3626	1221
748	3630	1216
749	3634	1211
750	3639	1206
751	3644	1201
752	3649	1197
753	3654	1192
754	3659	1187
755	3664	1182
756	3669	1177
757	3673	1172
758	3678	1168
759	3683	1163
760	3688	1158
761	3692	1153
762	3696	1148
763	3702	1143
764	3707	1138
765	3712	1134
766	3716	1129
767	3721	1124
768	3725	1119
769	3729	1114
770	3734	1109
771	3738	1104
772	3745	1099
773	3750	1095
774	3755	1090
775	3759	1085
776	3764	1080
777	3769	1075
778	3774	1070
779	3779	1065
780	3784	1061
781	3788	1056
782	3793	1051
783	3797	1046
784	3802	1041
785	3807	1036
786	3812	1031
787	3817	1026
788	3822	1022
789	3827	1017
790	3832	1012
791	3836	1007
792	3843	1003
793	3848	998
794	3853	993
795	3858	988
796	3863	984
797	3868	979
798	3872	974
799	3877	969
800	3882	964
801	3887	959
802	3892	954
803	3897	950
804	3902	945
805	3907	940
806	3911	935
807	3916	930
808	3921	925
809	3925	920
810	3930	915
811	3934	911
812	3939	906
813	3944	901
814	3949	896
815	3953	891
816	3958	886
817	3963	881
818	3968	876
819	3972	872
820	3977	867
821	3981	862
822	3986	857
823	3990	852
824	3994	847
825	3999	842
826	4004	837
827	4009	832
828	4014	827
829	4018	823
830	4023	818
831	4028	813
832	4033	808
833	4037	803
834	4043	799
835	4049	794
836	4055	789
837	4061	785
838	4065	780
839	4070	775
840	4075	770
841	4079	765
842	4084	760
843	4088	755
844	4092	750
845	4097	745
846	4102	740
847	4106	736
848	4110	731
849	4115	726
850	4120	721
851	4125	716
852	4130	711
853	4135	706
854	4141	702
855	4146	697
856	4151	692
857	4156	687
858	4161	683
859	4166	678
860	4172	673
861	4176	668
862	4181	663
863	4186	659
864	4191	654
865	4196	649
866	4201	644
867	4206	639
868	4210	634
869	4215	629
870	4220	625
871	4225	620
872	4230	615
873	4235	610
874	4239	605
875	4245	601
876	4250	596
877	4255	591
878	4260	586
879	4265	581
880	4269	576
881	4274	571
882	4279	566
883	4283	562
884	4288	557
885	4291	552
886	4296	547
887	4302	542
888	4307	537
889	4311	532
890	4316	528
891	4321	523
892	4327	518
893	4332	513
894	4337	508
895	4342	504
896	4346	499
897	4351	494
898	4355	489
899	4359	484
900	4365	479
901	4370	474
902	4375	470
903	4380	465
904	4385	460
905	4389	455
906	4396	450
907	4400	445
908	4405	441
909	4409	436
910	4414	431
911	4419	426
912	4423	421
913	4429	416
914	4434	411
915	4439	407
916	4444	402
917	4449	397
918	4453	392
919	4458	387
920	4463	382
921	4468	377
922	4473	373
923	4477	368
924	4482	363
925	4486	358
926	4490	353
927	4495	348
928	4500	343
929	4505	339
930	4509	334
931	4514	329
932	4519	324
933	4524	319
934	4529	314
935	4535	310
936	4541	305
937	4545	300
938	4551	295
939	4556	290
940	4561	286
941	4566	281
942	4571	276
943	4575	271
944	4580	266
945	4585	261
946	4590	256
947	4595	252
948	4600	247
949	4605	242
950	4610	237
951	4615	232
952	4620	227
953	4624	223
954	4632	218
955	4637	213
956	4642	208
957	4647	203
958	4652	198
959	4657	194
960	4661	189
961	4666	184
962	4671	179
963	4676	174
964	4681	169
965	4685	164
966	4690	160
967	4695	155
968	4699	150
969	4704	145
970	4709	140
971	4714	135
972	4719	130
973	4724	126
974	4730	121
975	4736	116
976	4741	111
977	4745	106
978	4750	101
979	4756	97
980	4761	92
981	4766	87
982	4771	82
983	4776	77
984	4780	72
985	4785	67
986	4790	63
987	4795	58
988	4799	53
989	4804	48
990	4808	43
991	4814	38
992	4820	33
993	4825	29
994	4830	24
995	4834	19
996	4839	14
997	4844	9
998	4848	4
999	4853	0
