iter	RMSE
0	0.9466017994
1	0.8981174859
2	0.8527941292
3	0.8103986985
4	0.7742181285
5	0.7363909342
6	0.6986985183
7	0.6649337309
8	0.6329645993
9	0.602118391
10	0.5732408621
11	0.5464538236
12	0.5222688342
13	0.5005183671
14	0.4813665097
15	0.4623807516
16	0.4441802948
17	0.4253950691
18	0.4067497805
19	0.3896340239
20	0.3751334679
21	0.3609088325
22	0.346921603
23	0.3358425654
24	0.3229213952
25	0.3114068529
26	0.3011623942
27	0.2893937591
28	0.2794956579
29	0.2710409261
30	0.2639375446
31	0.2560112201
32	0.2479959939
33	0.2410092596
34	0.2330929735
35	0.2264996459
36	0.2209954049
37	0.2131210994
38	0.2086483253
39	0.2045979097
40	0.2007634261
41	0.1965425836
42	0.1916127936
43	0.1862644459
44	0.1814613105
45	0.1781055811
46	0.175365954
47	0.17310061
48	0.1697163142
49	0.1674865603
50	0.1653495058
51	0.1629249967
52	0.1606496902
53	0.1576344104
54	0.1542729826
55	0.1528234629
56	0.1510754642
57	0.1472781922
58	0.145777621
59	0.1428610397
60	0.1403482883
61	0.1382772505
62	0.1360825178
63	0.1347243709
64	0.1336247389
65	0.1324971111
66	0.1316491039
67	0.1306622612
68	0.1287412481
69	0.1272766403
70	0.1253126155
71	0.1233953132
72	0.1210107151
73	0.1193757121
74	0.1177933411
75	0.1172372966
76	0.1165321135
77	0.1153790585
78	0.1143825033
79	0.1139439483
80	0.1128249442
81	0.1124564677
82	0.1114772011
83	0.1106777376
84	0.1097484087
85	0.1082977174
86	0.1071640571
87	0.1061093619
88	0.1054218922
89	0.1044736478
90	0.1032444755
91	0.1029710207
92	0.1025152123
93	0.1021876744
94	0.1017320613
95	0.1011270344
96	0.1005385109
97	0.1001531522
98	0.09928723099
99	0.0983433315
100	0.09797148138
101	0.09693501496
102	0.09648168629
103	0.09599650365
104	0.09538217842
105	0.09477653815
106	0.09445299812
107	0.09377686428
108	0.0932853893
109	0.09279334945
110	0.09239397705
111	0.09179419183
112	0.09141608083
113	0.09116627622
114	0.09092924555
115	0.09067364636
116	0.09031387425
117	0.09007095723
118	0.08979879123
119	0.08958097902
120	0.08907933779
121	0.08854802668
122	0.08838963086
123	0.08777827221
124	0.08725257783
125	0.08699201913
126	0.08674212273
127	0.08598266209
128	0.08577175522
129	0.08516305663
130	0.08455719693
131	0.08433086521
132	0.08397864511
133	0.08383826984
134	0.08350702324
135	0.08316309436
136	0.08295584022
137	0.0826981542
138	0.08236191702
139	0.08220192806
140	0.08197290361
141	0.08157051281
142	0.08112864382
143	0.0810128913
144	0.08081396326
145	0.08049649824
146	0.0803214674
147	0.08018960568
148	0.07998247148
149	0.0798791792
150	0.0794792937
151	0.07928771004
152	0.07906024956
153	0.07881556042
154	0.07845907856
155	0.07828342325
156	0.07814367944
157	0.07798870029
158	0.0778287412
159	0.07769742735
160	0.07753255961
161	0.07735769731
162	0.07720222699
163	0.076956388
164	0.07674510689
165	0.07661796455
166	0.07638869155
167	0.07602703831
168	0.0757350003
169	0.0755160131
170	0.07532471694
171	0.07515476743
172	0.07493116855
173	0.07474562981
174	0.07453696822
175	0.07422104158
176	0.07402094033
177	0.0738999094
178	0.0736849102
179	0.07359221495
180	0.07338582738
181	0.07315564889
182	0.07290928101
183	0.07276987779
184	0.0724917786
185	0.0723670343
186	0.07215765323
187	0.07200709462
188	0.07168760343
189	0.0715875487
190	0.07142762369
191	0.07134480858
192	0.0711803513
193	0.07102725692
194	0.07087611007
195	0.07070066271
196	0.07053226573
197	0.07037708107
198	0.07031146819
199	0.07008564232
200	0.06993412578
201	0.06979788618
202	0.06969011293
203	0.06954841083
204	0.06937938814
